target	regulator	var.exp.median
Gm38505	Hoxa1	0.5186224460782295
Gm3248	Bhlha15	0.4884396962161653
Plch1	Sox13	0.4450482166748266
Ppm1l	Mef2a	0.5245244131708012
Ccser1	Setbp1	0.5270664375169662
Nsun6	Zscan20	0.5233683789307877
Gabra4	Tcf7l1	0.4802204819047071
Cldn34c1	Esrrg	0.4504508278567598
1700019D03Rik	Egr2	0.5167328554174253
Arhgap42	Evx2	0.4680094595746892
Sulf2	Foxl1	0.4657692438706916
Srrm4	Msgn1	0.4563491088416826
Snhg11	Zfp637	0.6086517597559369
Dgki	Foxa3	0.6107984083020916
Cntnap5a	Sox5	0.4552593411882002
Arl3	Zfp128	0.4775772810245403
Fgf12	Fos	0.46114219311945603
Larp1b	Lyl1	0.4518854384958093
Spats2l	Klf8	0.48201810125842104
Grm1	Hoxc6	0.465529206648164
Slc25a3	Zfp637	0.4627152439498711
Pde4d	Alx3	0.4504090290936186
Pde1a	Ahctf1	0.5126146998046777
Xist	Nkx2-3	0.4994164423995256
Hsp90ab1	Sox30	0.485208146470425
Kctd8	Lhx6	0.4621009482380952
Npas3	Hnf4g	0.597969736811515
Ssh2	Nr2f2	0.4603026096033772
Hpse	Foxq1	0.4840029898735521
Hcrtr2	Atf2	0.4494628778329584
Ctnna1	Arx	0.5344785724496781
Pde9a	Myog	0.6563647534617877
Gm10406	Cux2	0.5118401969502321
Parm1	E2f5	0.4726400435569125
Hs3st5	Sp7	0.4596286138854674
Gm44151	Hsf2	0.4938439396605821
Focad	Arid3b	0.4477696970751423
Gm44129	Zfp322a	0.4607491444221498
Lrp1b	Zfp3	0.4554406355617007
Rapgef5	Mecp2	0.4919834460414748
Sec24d	Mef2d	0.4394909325541984
Tenm1	E2f7	0.5743476365169554
Asap2	Cux2	0.5979961497044315
Kcnip1	Cdx4	0.7139014004993458
Lrrc3b	Maz	0.4618544465571034
Rev3l	Foxj1	0.6148279519955271
Plcb1	Atf3	0.4566807486268864
Tiam2	Klf6	0.4764086951116076
Gm26673	Foxg1	0.4252987096224923
Klhl32	Pax7	0.4620765614330877
Klhl14	Phf21a	0.4391479421355428
Pcsk2	Sebox	0.4610888403969913
Gzmk	Atf2	0.44889002023670976
Ldlrad3	Jun	0.4936338872109294
Abtb2	Onecut1	0.43853124786951775
Gm28928	EDL38120.1	0.4425487604796711
Atp2b2	Maz	0.5369084579191022
Tmem178b	Rest	0.4521218407645651
Gas7	Irf3	0.4800606278708214
Lrtm1	E2f5	0.4750096080736649
Dock4	Cebpe	0.4618231218422719
Dgkh	Sp4	0.4518217185140964
Acap2	Tcf7	0.4958259815440397
Ccser1	Nfic	0.4431710328609661
Kcnh7	Prrx1	0.4435841747975261
Wdr17	Hoxb9	0.4660139701308241
Anks1b	Egr2	0.7486633909356347
Iqgap2	Mnt	0.4518973738774573
Fbn1	Foxk1	0.4429274525766317
Ttc19	Ascl1	0.4310046980147144
Phka2	Zfp652	0.4351262225290088
Sorl1	Spic	0.5205279438059084
Rapgef4os1	Zbtb12	0.4360777255125454
Cdc42ep3	Zfp3	0.4814547936365379
Plxna4	Msgn1	0.4351873809992679
Clstn2	Sp5	0.5909948932699831
Gm1992	Hmbox1	0.45856003248858507
Crybg1	Bhlha15	0.4470548793828911
Cadm2	Hnf1a	0.4371988982223661
Chrm3	Hmx1	0.44094719565059104
