target	regulator	var.exp.median
Frat2	Hlf	0.6229355802954787
Wdr13	Crem	0.6395889879244079
Ftsj1	Cebpa	0.6234948785685788
Ppp1r11	Foxj1	0.6266020034577675
Sncb	Maff	0.6452047089553634
Arx	Ppara	0.6315709432869553
Nt5c2	Stat5b	0.6659448748302137
Dclk2	Prrx2	0.6451637969193912
Cbln4	E2f6	0.6366799517344593
Dclk1	Tbx21	0.6239119849575147
Ncl	Hey2	0.618488378698949
Bysl	Stat5b	0.6198463391886633
Kdm5c	Etv2	0.626446956409614
Rpl4	Pou3f1	0.6180974978307384
Ncl	Bhlhe41	0.6180548991042744
Glrb	Sry	0.6290121674369697
Btrc	Nr5a1	0.6334540372660739
Npy	E2f3	0.5945814713522168
Gabra2	E2f6	0.6446931383090334
Fam50a	EDL38120.1	0.6350455270941183
Cox7b	Rxrg	0.6133124175925354
Tspan7	Gfi1b	0.6167787475603471
Tnik	Dlx2	0.6279784912599142
Etfdh	Neurog2	0.618344517508314
Rps26	Pou3f1	0.6153261232262873
Tpgs2	Tbx2	0.5976230033948073
Lsm14b	Nr1i3	0.6311734991605713
Gstm7	Tcf12	0.6346456548506054
Ldb1	Max	0.6262364713959307
Lrrc8a	Hsf2	0.6151161781831095
Adamts5	Sox5	0.6032157051897624
Prkce	Trp53	0.6093050773277586
Rftn2	Nr4a1	0.6337010832120722
Morf4l2	Cebpg	0.6092866222521834
Pja1	Isl1	0.6133396973169492
Kdm5c	Srf	0.6094362794223258
Tmsb4x	Twist2	0.6111141847629393
Vsnl1	Hoxd13	0.5933656804662677
Rpl8	Pou3f1	0.642555902008389
Ilf2	Cebpa	0.6444681469851059
Wdr13	Msx3	0.6224251265361669
Brcc3	Hinfp	0.6046762746246407
D2hgdh	Atf7	0.6017613354433387
Rsrc1	Irf8	0.6051655276879289
Shtn1	Fosl1	0.5996933773727984
Tpd52l1	Gfi1b	0.5969530572262071
Fth1	Rarg	0.6006456518241455
Lekr1	Gli2	0.603577764820296
Zfx	Glis2	0.6339840357106175
Krtcap2	Prrx2	0.6244767939461644
Plxna4	Sox5	0.6670519667505241
Rlim	Nr4a2	0.6107197478789448
Skil	Crem	0.5929692073709529
Bok	Mef2a	0.5893087932746353
H2-D1	Sebox	0.6078699498741312
Ccnl1	Nr1d2	0.6229299393154641
Map2	Nkx3-1	0.5930538575852399
Pam	Klf7	0.582757342216559
Riok3	Alx1	0.6065037359497661
Nolc1	Npas2	0.5853367911191021
Tceal6	Nfkb2	0.6069700395537636
Tubb5	Tfap4	0.5951995603478886
Cox5b	Elf2	0.595017702931875
Chpf	Dmrt1	0.5834821162469666
Prkce	Gfi1b	0.5942650070945935
Eef1b2	Mxi1	0.5832173465530393
Tiam2	Tcf12	0.5926061931422275
